[2025-06-28 10:20:56,278: INFO: main: Logging has succcessfully implemented]
[2025-06-28 22:48:02,719: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-28 22:48:02,724: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-28 22:50:52,442: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-28 22:50:52,447: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-28 22:50:52,451: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-28 22:50:52,455: INFO: common: Successfully Created Directory at: artifacts/data_ingestion]
[2025-06-28 22:50:55,752: INFO: 554025811: File has Downloaded]
[2025-06-28 22:54:53,998: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-28 22:54:54,002: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-28 22:54:54,005: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-28 22:54:54,010: INFO: common: Successfully Created Directory at: artifacts/data_ingestion]
[2025-06-28 22:54:54,015: INFO: 554025811: File already exits]
[2025-06-28 23:13:59,472: INFO: main: Logging has succcessfully implemented]
[2025-06-28 23:13:59,545: INFO: main: Stage Data Ingestion stage gets Initiated]
[2025-06-28 23:13:59,545: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-28 23:13:59,545: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-28 23:13:59,545: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-28 23:13:59,545: INFO: common: Successfully Created Directory at: artifacts/data_ingestion]
[2025-06-28 23:14:01,467: INFO: DataIngestion: File has Downloaded]
[2025-06-28 23:14:01,572: INFO: main: Stage Data Ingestion stage has Completed]
[2025-06-28 23:43:04,412: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-28 23:48:59,168: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-28 23:48:59,178: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-28 23:48:59,181: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-28 23:48:59,185: INFO: common: Successfully Created Directory at: artifacts/data_transformation]
[2025-06-29 00:13:31,560: INFO: main: Logging has succcessfully implemented]
[2025-06-29 00:13:31,897: INFO: main: Stage Data Ingestion Stage gets Initiated]
[2025-06-29 00:13:31,904: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-29 00:13:31,904: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-29 00:13:31,904: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-29 00:13:31,904: INFO: common: Successfully Created Directory at: artifacts/data_ingestion]
[2025-06-29 00:13:31,909: INFO: DataIngestion: File already exits]
[2025-06-29 00:13:32,212: INFO: main: Stage Data Ingestion Stage has Completed]
[2025-06-29 00:14:03,515: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-29 00:14:05,469: INFO: main: Stage Data Transformation Stage gets Initiated]
[2025-06-29 00:14:05,472: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-29 00:14:05,474: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-29 00:14:05,475: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-29 00:14:05,477: INFO: common: Successfully Created Directory at: artifacts/data_transformation]
[2025-06-29 00:14:16,316: INFO: main: Stage Data Transformation Stage has Completed]
[2025-06-29 00:36:38,345: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-29 00:50:29,137: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-29 00:50:29,144: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-29 00:50:29,150: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-29 00:50:29,155: INFO: common: Successfully Created Directory at: artifacts/model_trainer]
[2025-06-29 00:57:13,815: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-29 00:57:13,824: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-29 00:57:13,830: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-29 00:57:13,833: INFO: common: Successfully Created Directory at: artifacts/model_trainer]
[2025-06-29 00:58:57,602: INFO: config: PyTorch version 2.7.1 available.]
[2025-06-29 01:00:08,249: INFO: common: Yaml File: config\config.yaml Loaded Successfully]
[2025-06-29 01:00:08,258: INFO: common: Yaml File: params.yaml Loaded Successfully]
[2025-06-29 01:00:08,265: INFO: common: Successfully Created Directory at: artifacts]
[2025-06-29 01:00:08,269: INFO: common: Successfully Created Directory at: artifacts/model_trainer]
